Ticker
RXRX
BITF
PLUG
NVDA
NVTS
RGTI
DNN
NIO
BBD
F
BBAI
ACHR
KVUE
OPEN
TSLA
INTC
HPE
ONDS
SOFI
AMD
RIG
CLF
AAL
BTG
MARA
QBTS
RF
QS
SNAP
CRML
CIFR
HBAN
UUUU
QUBT
CLSK
IREN
KEY
MU
BAC
PSNYW
RKT
SOUN
APLD
PLTR
NU
FNB
SMR
WULF
GRAB
NOK
PFE
PATH
AMZN
T
HIMS
CRWV
GGB
AAPL
JOBY
BMNR
AG
EOSE
AMCR
IONQ
BULL
ORCL
INFY
VALE
CNH
ITUB
RIVN
ABEV
MVST
DOC
TSM
GOOGL
USAR
CRM
HL
VLY
SMCI
KDP
FHN
UAL
HPQ
CORZ
RKLB
SLB
OKLO
USB
RIOT
PSLV
HOOD
EQX
AGNC
HAL
B
STLA
C
AVGO
WFC
UEC
EXK
ERIC
CDE
AUR
AVTR
CCL
PL
MP
PBR
OSCR
GTLB
NGD
PYPL
VZ
NXE
FIG
CMCSA
CSX
FITB
ET
CX
ASX
GOOG
VG
ASTS
SCHW
FSM
NKE
UBER
HLN
SBSW
CTRA
CSCO
SBET
MSTR
NBIS
ENVX
KGC
TMC
CVE
KO
CAG
PRAX
BE
OWL
WMT
KMI
IAG
PCG
MRVL
TFC
BMY
BTDR
WDC
FCX
DAL
KHC
SE
CMG
U
WBD
XOM
LYFT
SBUX
NEM
FLNC
COMP
MSFT
WIT
BABA
DKNG
JNJ
JPM
PR
UWMC
ZION
BB
DOW
LUV
ABT
IBRX
MRK
TEVA
OXY
LUMN
ON
FLG
PTON
WU
NCLH
AIG
LRCX
MS
MMC
MOS
NWL
ACI
CFG
RXRX
BITF
PLUG
NVDA
NVTS
RGTI
DNN
NIO
BBD
F
BBAI
ACHR
KVUE
OPEN
TSLA
INTC
HPE
ONDS
SOFI
AMD
RIG
CLF
AAL
BTG
MARA
QBTS
RF
QS
SNAP
CRML
CIFR
HBAN
UUUU
QUBT
CLSK
IREN
KEY
MU
BAC
PSNYW
RKT
SOUN
APLD
PLTR
NU
FNB
SMR
WULF
GRAB
NOK
PFE
PATH
AMZN
T
HIMS
CRWV
GGB
AAPL
JOBY
BMNR
AG
EOSE
AMCR
IONQ
BULL
ORCL
INFY
VALE
CNH
ITUB
RIVN
ABEV
MVST
DOC
TSM
GOOGL
USAR
CRM
HL
VLY
SMCI
KDP
FHN
UAL
HPQ
CORZ
RKLB
SLB
OKLO
USB
RIOT
PSLV
HOOD
EQX
AGNC
HAL
B
STLA
C
AVGO
WFC
UEC
EXK
ERIC
CDE
AUR
AVTR
CCL
PL
MP
PBR
OSCR
GTLB
NGD
PYPL
VZ
NXE
FIG
CMCSA
CSX
FITB
ET
CX
ASX
GOOG
VG
ASTS
SCHW
FSM
NKE
UBER
HLN
SBSW
CTRA
CSCO
SBET
MSTR
NBIS
ENVX
KGC
TMC
CVE
KO
CAG
PRAX
BE
OWL
WMT
KMI
IAG
PCG
MRVL
TFC
BMY
BTDR
WDC
FCX
DAL
KHC
SE
CMG
U
WBD
XOM
LYFT
SBUX
NEM
FLNC
COMP
MSFT
WIT
BABA
DKNG
JNJ
JPM
PR
UWMC
ZION
BB
DOW
LUV
ABT
IBRX
MRK
TEVA
OXY
LUMN
ON
FLG
PTON
WU
NCLH
AIG
LRCX
MS
MMC
MOS
NWL
ACI
CFG
