iter	Passed	Remaining
179	8710	63878
180	8767	63892
181	8807	63785
182	8853	63712
183	8892	63599
184	8920	63407
185	8963	63319
186	9007	63243
187	9050	63163
188	9095	63093
189	9145	63056
190	9198	63039
191	9239	62943
192	9291	62918
193	9338	62868
194	9393	62865
195	9445	62840
196	9496	62809
197	9547	62780
198	9604	62794
199	9655	62761
200	9704	62716
201	9761	62723
202	9801	62622
203	9853	62595
204	9904	62565
205	9946	62479
206	9996	62444
207	10043	62387
208	10088	62314
209	10126	62207
210	10175	62159
211	10219	62089
212	10260	61996
213	10310	61958
214	10360	61920
215	10411	61892
216	10462	61859
217	10508	61799
218	10556	61750
219	10604	61699
220	10648	61628
221	10693	61561
222	10753	61581
223	10803	61542
224	10849	61480
225	10897	61432
226	10954	61432
227	11005	61396
228	11048	61321
229	11092	61247
230	11141	61208
231	11197	61201
232	11236	61101
233	11291	61087
234	11330	60991
235	11371	60904
236	11416	60841
237	11463	60783
238	11514	60752
239	11562	60701
240	11608	60644
241	11659	60610
242	11707	60561
243	11757	60521
244	11800	60446
245	11848	60396
246	11896	60351
247	11942	60289
248	11987	60226
249	12027	60137
250	12076	60092
251	12130	60072
252	12176	60014
253	12218	59937
254	12261	59865
255	12311	59825
256	12360	59782
257	12406	59724
258	12450	59654
259	12497	59602
260	12548	59571
261	12593	59508
262	12634	59425
263	12673	59334
264	12717	59267
265	12784	59308
266	12837	59283
267	12895	59280
268	12980	59403
269	13041	59411
270	13106	59437
271	13170	59461
272	13230	59463
273	13291	59472
274	13338	59415
275	13394	59401
276	13446	59369
277	13501	59348
278	13553	59315
279	13610	59304
280	13664	59278
281	13707	59203
282	13757	59160
283	13802	59096
284	13850	59045
285	13903	59016
286	13957	58990
287	14009	58956
288	14063	58930
289	14116	58898
290	14166	58855
291	14212	58795
292	14259	58739
293	14307	58688
294	14353	58631
295	14405	58593
296	14445	58511
297	14494	58463
298	14542	58413
299	14587	58350
300	14632	58287
301	14680	58233
302	14726	58178
303	14781	58152
304	14828	58099
305	14878	58053
306	14926	58003
307	14965	57919
308	15019	57889
309	15063	57822
310	15114	57785
311	15160	57724
312	15201	57650
313	15255	57620
314	15301	57564
315	15347	57505
316	15392	57441
317	15436	57378
318	15482	57317
319	15528	57260
320	15568	57181
321	15611	57113
322	15661	57070
323	15708	57016
324	15758	56973
325	15801	56903
326	15848	56852
327	15900	56814
328	15941	56738
329	15993	56703
330	16044	56664
331	16088	56599
332	16133	56539
333	16177	56475
334	16224	56422
335	16270	56366
336	16311	56291
337	16355	56226
338	16393	56142
339	16437	56082
340	16478	56006
341	16516	55923
342	16563	55872
343	16611	55821
344	16654	55755
345	16698	55695
346	16741	55627
347	16788	55575
348	16834	55520
349	16888	55489
350	16933	55431
351	16984	55394
352	17028	55331
353	17075	55279
354	17123	55229
355	17171	55181
356	17220	55134
357	17262	55066
358	17315	55034
359	17360	54974
360	17403	54911
361	17460	54888
362	17500	54815
363	17555	54787
364	17592	54705
365	17638	54649
366	17691	54618
367	17733	54549
368	17786	54515
369	17828	54450
370	17878	54405
371	17925	54354
372	17975	54310
373	18022	54259
374	18072	54216
375	18127	54190
376	18177	54147
377	18222	54089
378	18295	54114
379	18403	54240
380	18470	54246
381	18528	54228
382	18567	54151
383	18598	54052
384	18650	54013
385	18696	53959
386	18747	53916
387	18801	53885
388	18864	53876
389	18898	53788
390	18948	53743
391	18979	53647
392	19027	53597
393	19076	53548
394	19136	53533
395	19193	53509
396	19243	53465
397	19296	53428
398	19347	53387
399	19398	53346
400	19440	53279
401	19487	53228
402	19534	53175
403	19579	53116
404	19627	53066
405	19672	53008
406	19720	52959
407	19766	52903
408	19793	52798
409	19831	52723
410	19885	52688
411	19926	52622
412	19973	52570
413	20017	52510
414	20057	52439
415	20099	52373
416	20148	52328
417	20196	52278
418	20242	52224
419	20291	52177
420	20334	52116
421	20379	52058
422	20432	52023
423	20482	51979
424	20546	51970
425	20602	51942
426	20657	51910
427	20695	51836
428	20726	51744
429	20761	51661
430	20813	51622
431	20862	51576
432	20902	51508
433	20939	51433
434	20996	51406
435	21041	51350
436	21081	51280
437	21128	51230
438	21172	51170
439	21225	51135
440	21270	51077
441	21319	51032
442	21372	50995
443	21421	50947
444	21466	50891
445	21501	50813
446	21548	50761
447	21592	50703
448	21637	50648
449	21682	50592
450	21728	50539
451	21776	50490
452	21817	50426
453	21854	50351
454	21900	50298
455	21945	50243
456	21994	50196
457	22043	50151
458	22086	50091
459	22137	50050
460	22190	50013
461	22229	49943
462	22254	49843
463	22299	49789
464	22344	49735
465	22393	49687
466	22438	49634
467	22487	49588
468	22536	49542
469	22583	49490
470	22627	49435
471	22681	49398
472	22733	49359
473	22782	49314
474	22828	49260
475	22855	49167
476	22904	49122
477	22942	49053
478	22985	48993
479	23027	48933
480	23075	48885
481	23116	48823
482	23161	48768
483	23205	48713
484	23244	48644
485	23285	48582
486	23335	48540
487	23382	48489
488	23435	48452
489	23477	48391
490	23524	48342
491	23573	48296
492	23624	48255
493	23670	48203
494	23712	48143
495	23763	48102
496	23810	48052
497	23854	47996
498	23890	47924
499	23941	47883
500	23982	47822
501	24033	47779
502	24071	47711
503	24107	47640
504	24158	47599
505	24204	47548
506	24247	47491
507	24294	47441
508	24333	47376
509	24376	47318
510	24414	47252
511	24462	47204
512	24508	47153
513	24558	47111
514	24613	47076
515	24666	47038
516	24714	46991
517	24756	46932
518	24806	46888
519	24844	46822
520	24891	46772
521	24934	46717
522	24981	46667
523	25008	46581
524	25060	46541
525	25115	46505
526	25174	46478
527	25224	46435
528	25271	46385
529	25321	46343
530	25366	46290
531	25420	46253
532	25477	46222
533	25524	46173
534	25572	46125
535	25613	46066
536	25658	46013
537	25707	45968
538	25755	45920
539	25789	45848
540	25833	45792
541	25884	45751
542	25925	45691
543	25967	45633
544	26016	45588
545	26060	45534
546	26101	45474
547	26146	45423
548	26192	45371
549	26242	45328
550	26292	45283
551	26349	45251
552	26399	45208
553	26440	45149
554	26488	45102
555	26545	45069
556	26584	45007
557	26633	44961
558	26670	44896
559	26711	44836
560	26746	44767
561	26799	44729
562	26841	44672
563	26893	44631
564	26949	44598
565	26991	44541
566	27031	44480
567	27070	44419
568	27119	44372
569	27164	44321
570	27209	44269
571	27260	44226
572	27287	44144
573	27327	44085
574	27374	44037
575	27413	43975
576	27456	43920
577	27482	43839
578	27533	43797
579	27579	43746
580	27632	43708
581	27679	43658
582	27720	43601
583	27751	43527
584	27796	43477
585	27847	43433
586	27900	43394
587	27942	43339
588	27984	43283
589	28045	43256
590	28092	43208
591	28132	43149
592	28170	43087
593	28217	43039
594	28250	42969
595	28300	42925
596	28355	42889
597	28397	42834
598	28442	42782
599	28480	42721
600	28521	42663
601	28577	42628
602	28622	42577
603	28660	42516
604	28700	42457
605	28759	42427
606	28804	42376
607	28850	42326
608	28899	42281
609	28939	42223
610	28996	42189
611	29037	42133
612	29079	42077
613	29119	42019
614	29169	41976
615	29214	41925
616	29264	41880
617	29302	41820
618	29345	41765
619	29382	41704
620	29420	41643
621	29457	41581
622	29496	41523
623	29552	41486
624	29597	41436
625	29646	41391
626	29693	41343
627	29736	41290
628	29780	41238
629	29826	41189
630	29863	41127
631	29903	41069
632	29941	41010
633	29983	40955
634	30032	40911
635	30072	40852
636	30116	40801
637	30162	40752
638	30202	40695
639	30253	40653
640	30303	40609
641	30351	40563
642	30394	40510
643	30449	40473
644	30488	40415
645	30539	40372
646	30665	40429
647	30703	40369
648	30752	40324
649	30800	40277
650	30848	40230
651	30891	40178
652	30931	40120
653	30970	40062
654	31016	40013
655	31055	39955
656	31099	39903
657	31146	39855
658	31188	39802
659	31231	39749
660	31271	39693
661	31312	39637
662	31350	39578
663	31394	39526
664	31443	39481
665	31495	39440
666	31570	39427
667	31624	39388
668	31680	39352
669	31716	39290
670	31771	39252
671	31814	39200
672	31861	39152
673	31914	39112
674	31962	39065
675	32004	39010
676	32047	38959
677	32086	38900
678	32125	38843
679	32168	38791
680	32212	38740
681	32248	38679
682	32296	38633
683	32350	38593
684	32391	38539
685	32436	38488
686	32476	38433
687	32510	38370
688	32557	38321
689	32604	38274
690	32644	38219
691	32688	38167
692	32726	38110
693	32782	38073
694	32830	38026
695	32878	37979
696	32925	37932
697	32975	37888
698	33002	37818
699	33026	37745
700	33068	37692
701	33111	37639
702	33152	37584
703	33194	37532
704	33251	37495
705	33279	37427
706	33326	37379
707	33364	37323
708	33404	37267
709	33450	37219
710	33495	37170
711	33545	37125
712	33591	37077
713	33638	37030
714	33677	36974
715	33727	36930
716	33773	36882
717	33820	36835
718	33867	36788
719	33915	36742
720	33966	36699
721	34012	36650
722	34066	36611
723	34119	36570
724	34164	36520
725	34221	36483
726	34267	36435
727	34305	36379
728	34364	36344
729	34406	36291
730	34458	36249
731	34510	36207
732	34554	36157
733	34604	36113
734	34645	36059
735	34690	36010
736	34731	35956
737	34780	35911
738	34826	35862
739	34879	35821
740	34913	35761
741	34959	35713
742	35012	35671
743	35060	35625
744	35099	35570
745	35142	35519
746	35185	35468
747	35236	35425
748	35286	35381
749	35315	35315
750	35364	35270
751	35406	35218
752	35448	35166
753	35494	35117
754	35543	35073
755	35585	35020
756	35627	34968
757	35665	34913
758	35701	34854
759	35747	34807
760	35791	34756
761	35834	34705
762	35878	34655
763	35918	34602
764	35963	34553
765	36008	34504
766	36045	34447
767	36089	34397
768	36137	34351
769	36173	34294
770	36218	34245
771	36255	34188
772	36294	34134
773	36344	34091
774	36388	34041
775	36430	33989
776	36486	33950
777	36508	33880
778	36553	33831
779	36596	33781
780	36641	33732
781	36684	33681
782	36731	33635
783	36781	33591
784	36832	33548
785	36886	33507
786	36938	33465
787	36988	33420
788	37038	33376
789	37092	33335
790	37136	33286
791	37183	33239
792	37227	33190
793	37275	33144
794	37305	33082
795	37356	33039
796	37407	32995
797	37449	32943
798	37495	32896
799	37544	32851
800	37586	32800
801	37641	32760
802	37687	32712
803	37709	32643
804	37771	32609
805	37817	32562
806	37861	32512
807	37909	32467
808	37954	32418
809	37996	32367
810	38040	32318
811	38086	32270
812	38117	32209
813	38160	32159
814	38214	32119
815	38261	32072
816	38314	32030
817	38364	31985
818	38399	31929
819	38440	31877
820	38486	31829
821	38537	31786
822	38578	31734
823	38611	31676
824	38651	31624
825	38692	31572
826	38726	31515
827	38776	31470
828	38817	31419
829	38861	31369
830	38902	31318
831	38944	31267
832	38984	31215
833	39032	31169
834	39085	31127
835	39121	31072
836	39152	31013
837	39200	30967
838	39244	30918
839	39299	30878
840	39343	30828
841	39373	30769
842	39410	30714
843	39463	30672
844	39511	30626
845	39551	30574
846	39600	30530
847	39636	30474
848	39674	30421
849	39715	30370
850	39747	30312
851	39784	30258
852	39830	30211
853	39860	30151
854	39902	30102
855	39946	30053
856	39993	30007
857	40036	29957
858	40084	29911
859	40132	29866
860	40183	29822
861	40225	29772
862	40274	29727
863	40330	29687
864	40373	29638
865	40408	29583
866	40459	29539
867	40500	29488
868	40547	29442
869	40576	29383
870	40628	29340
871	40676	29294
872	40718	29244
873	40763	29196
874	40817	29155
875	40849	29098
876	40883	29042
877	40928	28995
878	40981	28952
879	41026	28904
880	41078	28862
881	41125	28815
882	41173	28770
883	41212	28718
884	41250	28665
885	41300	28621
886	41344	28573
887	41386	28523
888	41429	28473
889	41471	28424
890	41514	28375
891	41563	28330
892	41612	28285
893	41655	28236
894	41695	28185
895	41746	28141
896	41776	28083
897	41824	28038
898	41871	27992
899	41924	27949
900	41967	27900
901	42012	27852
902	42053	27802
903	42088	27748
904	42131	27700
905	42174	27650
906	42214	27599
907	42248	27545
908	42300	27502
909	42330	27445
910	42378	27399
911	42428	27354
912	42468	27304
913	42515	27258
914	42558	27209
915	42599	27159
916	42647	27113
917	42700	27071
918	42744	27023
919	42793	26978
920	42845	26935
921	42887	26885
922	42933	26838
923	42971	26787
924	43000	26730
925	43041	26680
926	43085	26632
927	43134	26587
928	43177	26538
929	43223	26491
930	43275	26448
931	43328	26406
932	43374	26359
933	43426	26316
934	43465	26265
935	43509	26217
936	43558	26172
937	43610	26129
938	43658	26083
939	43691	26029
940	43726	25975
941	43774	25929
942	43830	25889
943	43877	25843
944	43922	25795
945	43967	25748
946	44016	25703
947	44065	25658
948	44119	25616
949	44164	25569
950	44202	25517
951	44240	25465
952	44285	25418
953	44316	25363
954	44364	25317
955	44413	25272
956	44460	25226
957	44503	25178
958	44546	25130
959	44590	25082
960	44637	25036
961	44683	24989
962	44729	24942
963	44781	24899
964	44827	24852
965	44873	24805
966	44920	24759
967	44971	24715
968	45011	24665
969	45049	24614
970	45088	24564
971	45139	24520
972	45185	24473
973	45247	24435
974	45288	24386
975	45332	24338
976	45379	24292
977	45423	24244
978	45468	24197
979	45502	24144
980	45551	24099
981	45596	24051
982	45637	24002
983	45688	23958
984	45739	23914
985	45788	23869
986	45831	23821
987	45878	23774
988	45924	23728
989	45963	23678
990	46005	23629
991	46048	23581
992	46095	23535
993	46130	23483
994	46170	23433
995	46210	23383
996	46262	23339
997	46304	23291
998	46347	23243
999	46391	23195
1000	46443	23152
1001	46476	23098
1002	46517	23049
1003	46540	22991
1004	46589	22947
1005	46634	22900
1006	46677	22851
1007	46718	22803
1008	46759	22753
1009	46812	22710
1010	46852	22661
1011	46898	22614
1012	46934	22563
1013	46983	22518
1014	47035	22474
1015	47069	22422
1016	47120	22378
1017	47159	22329
1018	47207	22283
1019	47260	22240
1020	47302	22192
1021	47350	22146
1022	47397	22100
1023	47441	22052
1024	47482	22003
1025	47522	21954
1026	47568	21908
1027	47625	21866
1028	47670	21820
1029	47703	21767
1030	47750	21721
1031	47795	21674
1032	47840	21627
1033	47876	21576
1034	47907	21523
1035	47955	21478
1036	47999	21430
1037	48041	21382
1038	48084	21335
1039	48136	21291
1040	48191	21248
1041	48232	21200
1042	48274	21151
1043	48314	21102
1044	48356	21054
1045	48400	21007
1046	48452	20963
1047	48502	20918
1048	48539	20868
1049	48586	20822
1050	48632	20776
1051	48681	20731
1052	48707	20676
1053	48746	20627
1054	48802	20584
1055	48847	20538
1056	48901	20494
1057	48948	20449
1058	48977	20395
1059	49009	20343
1060	49052	20295
1061	49101	20250
1062	49157	20208
1063	49203	20162
1064	49249	20116
1065	49295	20069
1066	49339	20022
1067	49387	19977
1068	49430	19929
1069	49468	19879
1070	49509	19831
1071	49555	19785
1072	49600	19738
1073	49648	19692
1074	49692	19645
1075	49735	19598
1076	49787	19554
1077	49835	19508
1078	49883	19463
1079	49923	19414
1080	49965	19366
1081	50011	19320
1082	50050	19271
1083	50088	19222
1084	50129	19174
1085	50175	19127
1086	50213	19078
1087	50269	19035
1088	50308	18986
1089	50363	18944
1090	50409	18897
1091	50457	18852
1092	50508	18808
1093	50552	18760
1094	50610	18718
1095	50655	18672
1096	50716	18631
1097	50772	18588
1098	50822	18544
1099	50874	18499
1100	50946	18462
1101	50983	18413
1102	51017	18362
1103	51073	18319
1104	51120	18273
1105	51166	18227
1106	51205	18178
1107	51261	18135
1108	51314	18091
1109	51360	18045
1110	51404	17998
1111	51451	17952
1112	51490	17903
1113	51532	17855
1114	51582	17810
1115	51627	17764
1116	51668	17716
1117	51709	17668
1118	51762	17624
1119	51811	17578
1120	51860	17533
1121	51910	17488
1122	51955	17441
1123	52002	17395
1124	52051	17350
1125	52103	17306
1126	52142	17257
1127	52192	17212
1128	52235	17165
1129	52297	17124
1130	52343	17077
1131	52399	17034
1132	52439	16986
1133	52486	16940
1134	52530	16893
1135	52580	16847
1136	52633	16803
1137	52680	16757
1138	52722	16709
1139	52764	16662
1140	52811	16616
1141	52858	16570
1142	52902	16523
1143	52945	16476
1144	52990	16429
1145	53026	16379
1146	53070	16332
1147	53116	16286
1148	53156	16238
1149	53197	16190
1150	53252	16146
1151	53303	16101
1152	53347	16055
1153	53388	16007
1154	53429	15959
1155	53466	15910
1156	53510	15863
1157	53553	15816
1158	53600	15770
1159	53649	15724
1160	53693	15677
1161	53729	15628
1162	53785	15585
1163	53829	15538
1164	53877	15492
1165	53918	15444
1166	53969	15399
1167	54006	15351
1168	54055	15305
1169	54098	15258
1170	54146	15212
1171	54194	15167
1172	54226	15116
1173	54269	15069
1174	54317	15023
1175	54368	14979
1176	54416	14933
1177	54464	14887
1178	54504	14839
1179	54546	14792
1180	54597	14747
1181	54650	14702
1182	54705	14658
1183	54745	14611
1184	54788	14563
1185	54832	14517
1186	54883	14472
1187	54943	14429
1188	54988	14383
1189	55045	14339
1190	55095	14294
1191	55138	14247
1192	55184	14200
1193	55230	14154
1194	55272	14107
1195	55311	14059
1196	55337	14007
1197	55386	13962
1198	55439	13917
1199	55496	13874
1200	55542	13827
1201	55590	13781
1202	55633	13735
1203	55672	13686
1204	55712	13639
1205	55746	13589
1206	55793	13543
1207	55841	13498
1208	55890	13452
1209	55944	13408
1210	55992	13362
1211	56039	13316
1212	56075	13267
1213	56126	13222
1214	56173	13176
1215	56217	13129
1216	56268	13084
1217	56312	13037
1218	56358	12991
1219	56399	12944
1220	56445	12897
1221	56489	12851
1222	56532	12804
1223	56569	12755
1224	56621	12710
1225	56664	12664
1226	56705	12616
1227	56741	12568
1228	56786	12521
1229	56831	12475
1230	56873	12428
1231	56922	12382
1232	56965	12335
1233	57018	12290
1234	57061	12244
1235	57104	12196
1236	57145	12149
1237	57195	12104
1238	57249	12059
1239	57281	12010
1240	57323	11963
1241	57356	11914
1242	57404	11868
1243	57454	11823
1244	57506	11778
1245	57553	11732
1246	57590	11684
1247	57639	11638
1248	57684	11592
1249	57726	11545
1250	57776	11499
1251	57814	11452
1252	57852	11404
1253	57892	11356
1254	57934	11309
1255	57979	11263
1256	58029	11218
1257	58075	11171
1258	58121	11125
1259	58169	11079
1260	58215	11033
1261	58251	10985
1262	58296	10939
1263	58352	10894
1264	58399	10848
1265	58438	10801
1266	58489	10756
1267	58535	10709
1268	58577	10663
1269	58616	10615
1270	58660	10569
1271	58704	10522
1272	58749	10476
1273	58780	10427
1274	58814	10378
1275	58855	10331
1276	58903	10286
1277	58952	10240
1278	58996	10194
1279	59038	10147
1280	59093	10102
1281	59133	10055
1282	59174	10008
1283	59214	9961
1284	59264	9915
1285	59308	9869
1286	59351	9822
1287	59387	9774
1288	59436	9729
1289	59481	9683
1290	59535	9638
1291	59581	9592
1292	59622	9545
1293	59661	9497
1294	59713	9452
1295	59763	9407
1296	59804	9360
1297	59856	9315
1298	59904	9269
1299	59949	9223
1300	60017	9180
1301	60058	9133
1302	60105	9087
1303	60145	9040
1304	60187	8993
1305	60228	8946
1306	60277	8900
1307	60326	8855
1308	60372	8809
1309	60422	8763
1310	60468	8717
1311	60503	8669
1312	60551	8623
1313	60586	8576
1314	60620	8528
1315	60671	8482
1316	60710	8435
1317	60760	8390
1318	60803	8343
1319	60840	8296
1320	60885	8250
1321	60934	8204
1322	60982	8158
1323	61029	8112
1324	61065	8065
1325	61107	8018
1326	61149	7972
1327	61202	7926
1328	61250	7881
1329	61282	7833
1330	61330	7787
1331	61372	7740
1332	61419	7694
1333	61461	7648
1334	61489	7599
1335	61542	7554
1336	61593	7509
1337	61637	7462
1338	61685	7417
1339	61718	7369
1340	61769	7323
1341	61821	7278
1342	61860	7231
1343	61897	7184
1344	61937	7137
1345	61985	7091
1346	62033	7046
1347	62071	6999
1348	62112	6952
1349	62159	6906
1350	62206	6860
1351	62235	6812
1352	62276	6766
1353	62320	6719
1354	62362	6673
1355	62410	6627
1356	62460	6582
1357	62515	6536
1358	62558	6490
1359	62599	6444
1360	62644	6397
1361	62690	6351
1362	62744	6306
1363	62786	6260
1364	62824	6213
1365	62870	6167
1366	62910	6120
1367	62953	6074
1368	62985	6027
1369	63015	5979
1370	63064	5933
1371	63096	5886
1372	63140	5840
1373	63196	5795
1374	63262	5751
1375	63318	5706
1376	63380	5661
1377	63423	5615
1378	63489	5570
1379	63545	5525
1380	63594	5479
1381	63640	5433
1382	63695	5388
1383	63744	5342
1384	63790	5296
1385	63840	5250
1386	63890	5205
1387	63938	5159
1388	63983	5113
1389	64032	5067
1390	64074	5020
1391	64127	4975
1392	64164	4928
1393	64213	4882
1394	64264	4837
1395	64314	4791
1396	64370	4746
1397	64426	4700
1398	64471	4654
1399	64524	4608
1400	64572	4562
1401	64622	4517
1402	64662	4470
1403	64708	4424
1404	64769	4379
1405	64808	4332
1406	64861	4287
1407	64905	4240
1408	64957	4195
1409	64992	4148
1410	65041	4102
1411	65075	4055
1412	65122	4009
1413	65164	3963
1414	65207	3917
1415	65251	3870
1416	65296	3824
1417	65345	3778
1418	65399	3733
1419	65448	3687
1420	65494	3641
1421	65538	3594
1422	65597	3549
1423	65650	3503
1424	65704	3458
1425	65776	3413
1426	65828	3367
1427	65877	3321
1428	65922	3275
1429	65972	3229
1430	66013	3183
1431	66076	3137
1432	66123	3091
1433	66167	3045
1434	66226	2999
1435	66279	2953
1436	66317	2907
1437	66382	2862
1438	66419	2815
1439	66467	2769
1440	66509	2723
1441	66559	2677
1442	66597	2630
1443	66642	2584
1444	66691	2538
1445	66733	2492
1446	66782	2446
1447	66828	2399
1448	66866	2353
1449	66910	2307
1450	66959	2261
1451	67002	2214
1452	67048	2168
1453	67076	2122
1454	67121	2075
1455	67171	2029
1456	67214	1983
1457	67265	1937
1458	67299	1891
1459	67344	1845
1460	67389	1798
1461	67426	1752
1462	67473	1706
1463	67499	1659
1464	67538	1613
1465	67583	1567
1466	67628	1521
1467	67676	1475
1468	67722	1429
1469	67768	1383
1470	67815	1336
1471	67863	1290
1472	67921	1244
1473	67963	1198
1474	68004	1152
1475	68060	1106
1476	68113	1060
1477	68161	1014
1478	68209	968
1479	68247	922
1480	68292	876
1481	68338	830
1482	68378	783
1483	68420	737
1484	68468	691
1485	68510	645
1486	68553	599
1487	68590	553
1488	68643	507
1489	68687	460
1490	68746	414
1491	68789	368
1492	68820	322
1493	68860	276
1494	68894	230
1495	68945	184
1496	68996	138
1497	69034	92
1498	69072	46
1499	69119	0
