Date,Open,High,Low,Close,Volume,MA_5,MA_20,RSI_14,Daily_Return
2023-11-14,7.800933124726391,7.89747969597124,7.800933124726391,7.878170013427734,3345900,7.808656692504883,7.827000522613526,51.971138115552314,0.018726523403329365
2023-11-15,7.916788735202661,7.98437170573687,7.916788735202661,7.926443576812744,2506000,7.831827926635742,7.824586892127991,54.960500330821795,0.006127509726590263
2023-11-16,7.91678837943657,7.994025267373603,7.911960958848463,7.965061664581299,2112500,7.862722778320313,7.826035070419311,57.25269288384113,0.004872057360191695
2023-11-17,7.9747165057575105,7.998852687961709,7.917754231848724,7.965061664581299,2910500,7.893617630004883,7.8274832487106325,57.25269288384113,0.0
2023-11-20,7.965061664581299,7.994025267373603,7.9409254823771,7.965061664581299,2677700,7.939959716796875,7.826517796516418,57.25269288384113,0.0
2023-11-21,7.955407378524053,8.042299113700501,7.955407378524053,8.032644271850586,2862700,7.970854568481445,7.829414200782776,61.53183967316548,0.008484881864733174
2023-11-22,8.04229847465213,8.06643465662264,8.00368003105752,8.051953315734863,2057400,7.995956516265869,7.8352069616317745,62.681278057085116,0.0024038216097710396
2023-11-24,8.119535919600072,8.278837125462822,8.119535919600072,8.274009704589844,2703800,8.057746124267577,7.863205361366272,72.76123840265276,0.02757795284543496
2023-11-27,8.274008556170235,8.331936677869258,8.235390115282971,8.322281837463379,3562800,8.129190158843993,7.903754734992981,74.38121411822834,0.005834188573256904
2023-11-28,8.302973077387875,8.375382538959462,8.298145657184936,8.322281837463379,3787000,8.20063419342041,7.932718539237976,74.38121411822834,0.0
2023-11-29,8.293319388081757,8.312628150837286,8.216082495586871,8.274009704589844,4100800,8.248907279968261,7.955889654159546,69.58182122477561,-0.005800348247788745
2023-11-30,8.167808142414561,8.264354705810547,8.12918970120342,8.264354705810547,7061300,8.291387557983398,7.9761643409729,68.62800472285828,-0.001166906871518547
2023-12-01,8.21608170544527,8.302973431329724,8.19677202381037,8.283663749694824,4772100,8.293318367004394,8.006093645095826,69.52764378947674,0.002336424871829612
2023-12-04,8.158154800647406,8.19194582782281,8.090572746296601,8.177464485168457,4709200,8.26435489654541,8.025402975082397,59.432836231079456,-0.012820325369952368
2023-12-05,8.032643752986608,8.032643752986608,7.878169976311686,7.90713357925415,5346300,8.181325244903565,8.029264831542969,42.512303177637335,-0.03305803484742831
2023-12-06,7.936098018585892,7.994025223855153,7.82989660769837,7.8395514488220215,5911400,8.09443359375,8.030713033676147,39.48574657657096,-0.00854698226035322
2023-12-07,7.907133575091331,7.965061701682098,7.858861210458084,7.936098098754883,5599700,8.028782272338868,8.036988568305969,45.45945044379127,0.012315328314781215
2023-12-08,7.916788420480417,7.950579444036014,7.89747965876422,7.90713357925415,2964500,7.953476238250732,8.041815876960754,44.05440881921089,-0.0036497179269088242
2023-12-11,7.955406860460914,8.013334987051682,7.897479654606483,7.936098098754883,7137700,7.905202960968017,8.048091411590576,45.856577337012055,0.00366308716179109
2023-12-12,7.984371346933723,8.003680108549815,7.945751982228874,7.965061664581299,4585300,7.916788578033447,8.059676933288575,47.6718234537349,0.003649597757739542
2023-12-13,7.926443576812744,7.945752339296537,7.810588239700866,7.926443576812744,8409300,7.934167003631591,8.062090611457824,45.48227091341657,-0.004848435504307469
2023-12-14,7.936098140321912,7.960234322764954,7.858861251620569,7.878170013427734,5473000,7.922581386566162,8.059676933288575,42.83386731008368,-0.006090192015776763
2023-12-15,7.868515493613404,7.878170335279592,7.704387328601904,7.714041709899902,8997800,7.883963012695313,8.047125935554504,35.30632293420412,-0.02083330307014042
2023-12-18,7.7912781639400865,7.868515051456652,7.767141981867282,7.8395514488220215,5457700,7.86465368270874,8.04085042476654,43.48541685112079,0.016270295604059903
2023-12-19,7.897479853671576,7.926443457328853,7.829896884156119,7.887825012207031,4685100,7.849206352233887,8.036988592147827,46.297661946979034,0.00615769456966353
2023-12-20,7.897479129903402,7.926442730906296,7.800932565578724,7.810587406158447,4907800,7.826035118103027,8.025885748863221,42.641470391816135,-0.009792002982958237
2023-12-21,7.90713357925415,7.9360981029329505,7.820242770426759,7.90713357925415,4871200,7.831827831268311,8.018644762039184,48.153141232867064,0.012360936261923028
2023-12-22,7.8878246968054135,7.897479537883902,7.810587809650155,7.8685150146484375,3388100,7.862722492218017,7.998370027542114,46.23914615374642,-0.0048840157079217406
2023-12-26,7.829896375136906,7.916788101196289,7.810587614199432,7.916788101196289,2790100,7.878169822692871,7.97809534072876,48.96962357379763,0.0061349678380206996
2023-12-27,7.907134445004546,8.003681026365404,7.907134445004546,7.994026184082031,3319900,7.899410057067871,7.961682558059692,53.076172158549454,0.009756239765223773
2023-12-28,7.9843722625350955,8.022024858409239,7.965062577968348,7.994026184082031,2562500,7.936097812652588,7.947683382034302,53.07617215854946,0.0
2023-12-29,7.974717146553056,7.9843719885050675,7.936098699481416,7.9457526206970215,2446400,7.943821620941162,7.9317532777786255,50.15084980931502,-0.0060387046868990435
2024-01-02,7.868515726553742,7.9843719885050675,7.868515726553742,7.9457526206970215,4713300,7.9592691421508786,7.914857721328735,50.15084980931502,0.0
2024-01-03,8.013334872140254,8.08091691824674,7.98919776943342,8.051953315734863,3674400,7.986302185058594,7.908582162857056,56.296622636560244,0.013365718781781721
2024-01-04,8.061607802265371,8.138844686057686,8.04229812094915,8.090571403503418,2703300,8.005611228942872,7.917754054069519,58.309440849043376,0.004796114216545355
2024-01-05,8.119535091626144,8.182290635839106,8.092502274083193,8.158153533935547,2300200,8.038436698913575,7.933684158325195,61.63913075165516,0.008353196215889591
