Date,Open,High,Low,Close,Volume,MA_5,MA_20,RSI_14,Daily_Return
2023-11-14,134.72802743226794,136.30723226569063,134.1817777176159,134.509521484375,22317300,132.7078430175781,130.905676651001,55.54708931969166,0.013394412177816895
2023-11-15,135.711291353787,135.90992897259557,134.41019752225017,135.45306396484375,15840900,133.32760314941407,130.76166267395018,57.78206013646084,0.007014689146584763
2023-11-16,136.0291296706895,137.93607817454426,135.1551059232679,137.75729370117188,17615100,134.7200714111328,130.74775810241698,62.71248251803004,0.01701127806843994
2023-11-17,136.88327048018704,137.06203977937489,134.55916350519928,136.00924682617188,25565300,135.2921569824219,130.75768852233887,57.25017796123816,-0.01268932357797281
2023-11-20,134.57903968756656,137.4841622099929,134.56911311094566,136.9825897216797,19569400,136.14234313964843,130.75868186950683,59.37216659513347,0.0071564464786118
2023-11-21,137.00245501050702,138.02048225208836,136.76905164689023,137.67782592773438,17648100,136.7760040283203,130.68419151306153,60.86637117984994,0.005075361821288871
2023-11-22,138.15458364957178,140.14099022883187,138.05525725857697,139.06832885742188,17306400,137.49905700683593,131.34715576171874,63.73882150534275,0.010099686861828827
2023-11-24,138.59156844459474,138.72764589165334,136.5356456925598,137.28054809570312,8828600,137.4037078857422,132.08113288879395,57.85855483178558,-0.012855412705445324
2023-11-27,136.63497628544607,138.68097252431508,136.6051662457298,137.11170959472656,17886400,137.62420043945312,132.80865440368652,57.32072292485876,-0.0012298792750947696
2023-11-28,136.69456443617818,137.71756254349978,136.10856301672683,137.67782592773438,17046900,137.76324768066405,133.44778022766113,58.706766098403065,0.0041288693334882165
2023-11-29,138.0403682367615,138.7207101068505,135.36864879985237,135.47293090820312,21014700,137.3222686767578,133.99900817871094,51.668688416101624,-0.016014888415572304
2023-11-30,135.47292076448537,136.02912732923033,131.8874563324484,133.00978088378906,29913500,136.11055908203124,134.31435012817383,45.15588606748803,-0.01818186118733267
2023-12-01,132.41384887695312,132.5926181663359,131.25377319075582,132.41384887695312,24268000,135.13721923828126,134.54973831176758,43.72002828738365,-0.004480362292729523
2023-12-04,130.40164545419833,130.5565758395042,128.52050596417803,129.74215698242188,24117100,133.6633087158203,134.56265182495116,37.90132984511918,-0.02017683132988568
2023-12-05,129.48389859735832,132.63235097777428,128.84824914445224,131.49017333984375,19235100,132.4257781982422,134.6093322753906,43.22539475842796,0.013473002130361511
2023-12-06,131.9967073945423,132.40392436898622,130.4175178459377,130.5366973876953,16360600,131.43853149414062,134.56116180419923,41.152822847802916,-0.0072513095688461204
2023-12-07,135.6715705006872,139.04845550081836,135.30407499140995,137.5089874267578,38419400,132.33837280273437,134.81889801025392,57.28253174115824,0.05341248996329928
2023-12-08,134.7379535322421,137.05211887182605,134.6485688789512,135.71128845214844,23016100,132.99786071777345,135.06471481323243,53.23123854472148,-0.013073319848034615
2023-12-11,132.91046108352194,133.87385425633943,131.98677421586547,133.7844696044922,24502900,133.8063232421875,135.09649734497071,49.213648392462034,-0.014197926124145832
2023-12-12,132.36417864576356,133.62553564504864,131.92716686598,132.73165893554688,26584000,134.05462036132812,135.09649734497071,47.120947547680075,-0.007869453547618366
2023-12-13,133.6305371126579,133.86394049599028,132.04637662569377,133.0594482421875,25414500,134.55917053222657,135.02399368286132,47.86428515905199,0.0024695638498708483
2023-12-14,133.85401420402098,134.1172124747159,130.1692232592123,132.294677734375,29619100,133.51630859375,134.8660743713379,46.23138227717856,-0.005747585142698797
2023-12-15,132.0165831357041,133.91360510923639,131.72856084188126,132.93032836914062,58594000,132.96011657714843,134.62472610473634,47.82464084375378,0.004804808822633788
2023-12-18,132.9501994253627,137.43948275635876,132.8608147621657,136.257568359375,25699800,133.454736328125,134.63714218139648,55.29238187119651,0.025029953894304624
2023-12-19,137.06206581233658,137.82683665485703,136.51580092482197,137.16139221191406,20661000,134.34068298339844,134.6460823059082,57.08908344029344,0.006633201101573061
2023-12-20,139.37621401279182,142.10553763734032,138.46246884060355,138.7107696533203,33507300,135.470947265625,134.6977294921875,60.052814007076265,0.011296017169412087
2023-12-21,139.81322925621407,141.06465992680535,139.51825079333318,140.8362274169922,18101500,137.17925720214845,134.786124420166,63.7514493017443,0.015322946941928262
2023-12-22,141.16398320036313,142.27636599411244,141.08948083232403,141.74996948242188,18513500,138.94318542480468,135.00959548950195,65.2414049955434,0.006487976014326602
2023-12-26,142.0082052111716,142.96665792446996,141.53147186515343,141.84930419921875,11170100,140.06153259277343,135.24647521972656,65.4078696899638,0.0007007741670743695
2023-12-27,141.85922010559463,142.34589514736865,140.09230463692492,140.47866821289062,17288400,140.72498779296876,135.3865173339844,61.06237361193006,-0.00966262044121946
2023-12-28,140.88589634779512,141.3030399216425,139.87083940722655,140.31976318359375,12192500,141.04678649902343,135.6288589477539,60.560036020984754,-0.0011311683924569715
2023-12-29,139.72382138796428,140.47369466693337,138.9491240905847,139.9721221923828,14881000,140.87396545410155,135.9769760131836,59.40857523154858,-0.0024774912907747915
2024-01-02,138.65118681417778,139.65928755799916,136.80382806901335,138.6114501953125,20071900,140.2462615966797,136.28685607910157,55.000614458777235,-0.009721021413107933
2024-01-03,137.65795856432104,140.13102463513462,137.48910069736715,139.40599060058594,18974300,139.75759887695312,136.77004776000976,57.006643252021206,0.005732141205895269
2024-01-04,138.89947135773542,139.6791243393909,137.07196598114118,137.1017608642578,18253300,139.08221740722655,137.05062713623047,50.03973554555301,-0.01652891476471774
2024-01-05,137.41165910690393,137.8665387934094,135.91986893728313,136.45619201660156,15439500,138.30950317382812,137.3466018676758,48.260205888718865,-0.004708683853414719
2024-01-08,137.06207144713866,139.68412785992416,136.94289188681068,139.5748748779297,17645300,138.2300537109375,137.44989624023438,56.33822605542313,0.022854828463545918
2024-01-09,139.10802614303216,141.82940813945595,138.83985705801905,141.59103393554688,19579700,138.8259704589844,137.7438835144043,60.61884835993079,0.01444499992839332
2024-01-10,141.55134799836006,143.54271044219408,141.49175822119923,142.82264709472656,16641900,139.5093017578125,138.195792388916,63.004921227401674,0.008698383823797284
2024-01-11,143.9101920305069,145.6631951956154,141.2483993866276,142.69351196289062,17471100,140.62765197753907,138.6938850402832,62.576803277836234,-0.0009041642516980364
2024-01-12,143.35895478755444,143.75624518425926,142.38561983701592,143.2596435546875,13998700,141.98834228515625,139.2038948059082,63.740055166737704,0.003967465542120019
2024-01-16,142.45514726369032,144.8487709416046,142.08369624783842,143.10073852539062,19198900,142.69351501464843,139.74419784545898,63.1467355282939,-0.0011092100004856942
2024-01-17,141.93869155221338,142.43529321729977,139.5549944667506,141.9188232421875,17884500,142.75907287597656,140.19362258911133,58.76516658962694,-0.00825932343454272
2024-01-18,142.4650790244781,144.5955042753339,142.3756943676789,144.00454711914062,18876800,142.99545288085938,140.58097152709962,63.56916659731805,0.01469659788112665
2024-01-19,145.3105873548029,147.03379551838088,144.8090300426916,146.9642791748047,27181000,143.8496063232422,141.07111587524415,69.07506095248155,0.02055304582302786
