Date,Open,High,Low,Close,Volume,MA_5,MA_20,RSI_14,Daily_Return
2023-11-14,13.050000190734863,14.6850004196167,13.050000190734863,13.770000457763672,12320,14.247000122070313,15.763499975204468,36.668610702147575,0.05517243344869738
2023-11-15,13.5,15.149999618530273,13.5,14.550000190734863,20220,14.157000160217285,15.553499984741212,41.945248742349186,0.0566448588991455
2023-11-16,14.850000381469727,15.449999809265137,13.979999542236328,14.414999961853027,40540,14.097000122070312,15.381749963760376,41.303812981701796,-0.009278366124544912
2023-11-17,14.25,15.600000381469727,14.25,15.449999809265137,15960,14.247000122070313,15.254249954223633,47.88391520831217,0.07180019772119794
2023-11-20,15.449999809265137,18.899999618530273,15.449999809265137,18.450000762939453,36767,15.32700023651123,15.336750030517578,61.393660632436,0.1941748214051926
2023-11-21,18.0,18.299999237060547,15.899999618530273,16.049999237060547,60487,15.782999992370605,15.299250030517578,50.18562445418651,-0.13008137813738163
2023-11-22,16.799999237060547,17.549999237060547,16.350000381469727,16.950000762939453,18913,16.263000106811525,15.336750030517578,53.60607651604211,0.05607486409100515
2023-11-24,16.649999618530273,18.600000381469727,16.649999618530273,17.700000762939453,11033,16.920000267028808,15.366750049591065,56.298993457580266,0.04424778561897447
2023-11-27,17.700000762939453,18.899999618530273,17.625,18.149999618530273,18293,17.460000228881835,15.524250030517578,57.878777256935315,0.025423663061813873
2023-11-28,17.549999237060547,17.850000381469727,16.049999237060547,16.5,33480,17.070000076293944,15.588000011444091,50.64886464041174,-0.09090907180216712
2023-11-29,15.470000267028809,18.059999465942383,15.010000228881836,17.43000030517578,126300,17.346000289916994,15.687000036239624,54.12706174856461,0.05636365485913819
2023-11-30,17.09000015258789,18.499000549316406,17.020000457763672,18.200000762939453,52200,17.596000289916994,15.878500080108642,56.83936028725621,0.0441767323168103
2023-12-01,18.049999237060547,18.049999237060547,16.719999313354492,17.559999465942383,64800,17.568000030517577,15.999000072479248,53.98237831401262,-0.035164904954306464
2023-12-04,16.799999237060547,17.579999923706055,15.949999809265137,16.15999984741211,67800,17.170000076293945,15.967000102996826,48.26705425555034,-0.07972663218159959
2023-12-05,16.0,17.760000228881836,15.295000076293945,17.68000030517578,48000,17.4060001373291,16.111500120162965,53.96569082117952,0.09405943515569315
2023-12-06,18.219999313354492,18.309999465942383,17.729999542236328,18.15999984741211,37100,17.552000045776367,16.23200011253357,55.62793632672526,0.027149294906732013
