Date,Open,High,Low,Close,Volume,MA_5,MA_20,RSI_14,Daily_Return
2023-11-14,138.63023382693845,139.4753053849731,138.00112245326946,138.64901733398438,6713600,139.02648010253907,140.62976760864257,37.40909548442324,0.00020330986702310483
2023-11-15,138.3579111013296,140.3015810457202,138.28279141506889,139.71942138671875,6729100,138.73539123535156,140.44525833129882,44.04056341255486,0.007720242619216888
2023-11-16,140.37668830209026,141.00579950025084,139.56916965580982,140.94007873535156,6875600,139.23867492675782,140.34103088378907,50.48343747772453,0.008736490149456433
2023-11-17,141.36263195632074,141.5879766955261,139.97295352996358,140.6490020751953,7023300,139.71567077636718,140.19032516479493,49.033667884158184,-0.002065251153313241
2023-11-20,139.9959431107392,142.35270413140813,139.64573047965894,141.88893127441406,8851700,140.36929016113282,140.1772033691406,54.966474629827545,0.008815769617447122
2023-11-21,142.06875097575332,143.19506667087055,141.60496373022139,143.03416442871094,5916300,141.24631958007814,140.22885665893554,59.63966325945019,0.00807133540305549
2023-11-22,143.51691737572344,143.9049690139846,142.34325939130665,142.75025939941406,4633500,141.85248718261718,140.25035018920897,58.03195074697729,-0.0019848756444365012
2023-11-24,142.78808248087032,144.51069401541693,142.78808248087032,144.34033203125,3351400,142.53253784179688,140.47200622558594,63.90133927452865,0.011138842328733967
2023-11-27,144.1415462685199,144.16995437181097,142.89218186008023,143.1855926513672,6449700,143.03985595703125,140.79554977416993,57.601106448197825,-0.008000115862507595
2023-11-28,143.2991874585139,143.68725346910742,142.76915312324107,143.5168914794922,5909000,143.36544799804688,141.06852111816406,58.85450597465213,0.0023137720911046156
2023-11-29,143.23292730066726,144.05637239327467,142.98684407959004,143.97119140625,5190000,143.5528533935547,141.30270538330078,60.57561119788067,0.00316548053733956
2023-11-30,144.1131563357409,146.83906339536463,143.79135187518833,146.38475036621094,12481900,144.27975158691407,141.64113540649413,68.18877910080799,0.016764179947295732
2023-12-01,148.0695153744882,149.98143719122245,147.15141509054087,149.9057159423828,10342900,145.39282836914063,142.0828430175781,75.59331423776429,0.02405281675422799
2023-12-04,149.54606314034476,151.4579852066309,149.54606314034476,150.3789825439453,8920300,146.83150634765624,142.49657135009767,76.38885647748069,0.003157095101993246
2023-12-05,150.30324336245806,151.08883508038542,149.75427513394192,150.06661987304688,7268200,148.14145202636718,142.87777938842774,74.65913825561772,-0.002077169732194184
2023-12-06,150.03823066114217,150.17073924144972,147.81396401774526,148.23988342285156,6642900,148.9951904296875,143.20521087646483,65.34093561042678,-0.012172836649087526
2023-12-07,148.20204508729037,148.20204508729037,146.43210577556744,147.08517456054688,6532400,149.1352752685547,143.50072631835937,60.224107386188535,-0.007789461483930782
2023-12-08,147.10411743053186,147.51111742054815,145.60865495701367,146.15762329101562,6254700,148.38565673828126,143.88742446899414,56.40317667820558,-0.00630621864033909
2023-12-11,146.23333233615548,147.1608924715162,146.09136400403256,146.76336669921875,6090400,147.66253356933595,144.31239166259766,58.265394828757394,0.004144453053926744
2023-12-12,146.7065656380785,147.00945064140214,145.4287929991287,146.7728271484375,5324400,147.00377502441407,144.71999130249023,58.295356626429054,6.446056281972368e-05
2023-12-13,145.43827744523176,147.59628269796715,143.64940428987606,147.4542999267578,10764600,146.8466583251953,145.1602554321289,60.49544520504245,0.004643044571398081
2023-12-14,148.09794010116522,148.75102337233426,146.7539201476433,148.47653198242188,9240700,147.12492980957032,145.59811096191407,63.597652484432054,0.00693253473226485
2023-12-15,147.17036173034487,148.3061516763802,145.53291666210495,146.85801696777344,21727800,147.26500854492187,145.89400787353514,56.0876084504206,-0.010900813704620038
2023-12-18,146.90532680097954,148.0695102717724,146.479392985641,147.12301635742188,7231400,147.3369384765625,146.21770858764648,56.98328552719459,0.0018044598117281652
2023-12-19,146.99053385744278,148.12632386763767,146.64979541014895,148.08847045898438,6651500,147.60006713867188,146.527685546875,60.17069962117555,0.006562223406411327
2023-12-20,148.16416251526596,148.27775161461648,144.91769506900957,145.0691375732422,7008300,147.12303466796874,146.62943420410156,48.15372400791341,-0.020388710048689695
2023-12-21,145.46666766317423,146.82962135730318,145.09753557454368,146.5551300048828,4598600,146.73875427246094,146.819677734375,53.11645613835351,0.010243339531059048
2023-12-22,146.94319767315747,148.15470887217595,146.72550809083376,147.1419677734375,3798900,146.79554443359376,146.9597595214844,54.950376918166135,0.004004211715653572
2023-12-26,146.70658083410478,147.98435360540768,146.5646125005615,147.78558349609375,4170000,146.9280578613281,147.18975906372071,56.93981007418927,0.0043741138738015994
2023-12-27,147.17981879566537,148.1452467313027,147.10409754165926,147.98434448242188,5288100,146.90723266601563,147.4131317138672,57.56307300752822,0.0013449281156261428
2023-12-28,147.65308854044295,148.8267464947557,147.64362879811753,148.20205688476562,4377500,147.5338165283203,147.62467498779296,58.27547232968953,0.0014711853683253562
2023-12-29,148.1357810737426,148.50491318179678,147.6341403741396,148.35348510742188,4313700,147.89348754882812,147.7231117248535,58.79361861165144,0.0010217686976774498
2024-01-02,148.53329471781788,152.99128775933352,148.40078613709088,151.41064453125,9622100,148.74722290039062,147.79835815429686,67.55392141455627,0.020607263938656084
2024-01-03,152.04480244960715,152.80200057227745,151.24975091986215,152.35714721679688,8232000,149.66153564453126,147.89726638793945,69.70156996230767,0.006251229485728205
2024-01-04,152.94396552875207,153.31309761958954,151.83656925623967,152.03533935546875,6766600,150.47173461914062,147.99570236206054,68.05225722198152,-0.0021121940598572975
2024-01-05,151.91226442771352,152.70731580341416,150.93737690795794,152.50856018066406,5602500,151.33303527832032,148.20913619995116,69.20617784066441,0.0031125712429851404
2024-01-08,152.48019102107878,153.0102253567128,151.06990974477563,152.88717651367188,6569800,152.23977355957032,148.4992362976074,70.13559316193786,0.00248259069890433
2024-01-09,152.98184204101562,154.54355148861248,152.00695429866187,152.98184204101562,6357000,152.55401306152345,148.84044723510743,70.37634085220037,0.000619185529502353
2024-01-10,153.16164071911703,153.91882424019343,152.57480471522794,153.20895385742188,4945100,152.72437438964843,149.16272659301757,70.9807444740105,0.001484567144546256
2024-01-11,153.39828349299103,153.5213178873636,152.17729819318512,152.52749633789062,4946000,152.82280578613282,149.45046005249023,66.59054108535864,-0.004447896172996679
2024-01-12,153.18058203947987,153.77687786758563,153.0386137196223,153.70115661621094,4496900,153.0613250732422,149.7628028869629,70.0287854145859,0.007694745580300699
2024-01-16,152.92503491802321,153.5686438737323,151.60939445870014,151.93121337890625,6923200,152.87013244628906,149.9355369567871,60.0005575237498,-0.01151548417897863
2024-01-17,151.67567681573226,152.66949849145115,151.3160044426036,151.84603881835938,5072100,152.64297180175782,150.1849380493164,59.558552726563235,-0.0005606126526117583
2024-01-18,151.43904070956916,152.7357328740921,151.14562987897074,152.5843048095703,5368500,152.5180419921875,150.45800247192383,62.160534975068515,0.004861937769045532
2024-01-19,152.52751882700755,153.2563233297251,151.70407357946098,153.02915954589844,7071300,152.61837463378907,150.70503692626954,63.67705695517275,0.002915468513509989
2024-01-22,153.33203263748547,154.8274949357976,152.70734311242734,153.77688598632812,6824200,152.6335205078125,151.14042434692382,66.13390368189698,0.004886169685885289
2024-01-23,151.1172174848868,151.92172862353453,148.51435929528708,151.25918579101562,9149800,152.49911499023438,151.37562713623046,53.10811858318902,-0.01637242280700324
2024-01-24,151.20242058081882,152.00694627947317,149.6974985463669,150.45469665527344,7247900,152.2208465576172,151.54126358032227,49.73710060749342,-0.00531861342195572
2024-01-25,150.492548669188,151.07937033804333,149.9909079956789,151.0225830078125,5478900,151.90850219726562,151.7031135559082,52.05080262674672,0.003774467432148265
2024-01-26,151.8460376116631,152.13946290666726,150.833296460825,150.96580505371094,5591900,151.49583129882814,151.85218658447266,51.79409243740773,-0.0003759567143585274
2024-01-29,150.50200379803843,151.50529955666357,150.45469065253099,150.83328247070312,6483200,150.90711059570313,151.98374786376954,51.159872391176734,-0.0008778317908526567
2024-01-30,150.82382482098942,151.21187638517227,149.66910098449836,150.2748565673828,7200500,150.71024475097656,152.07981643676757,48.466703637483214,-0.003702272430680442
2024-01-31,151.81761375584696,152.02584356645454,150.1801833745697,150.3978729248047,8256800,150.69888000488282,152.0291778564453,49.10234750002383,0.0008186090489910036
2024-02-01,149.69749912657315,150.00984388929595,148.64689017645205,149.8867950439453,8012000,150.4717224121094,151.90566024780273,46.53427213063882,-0.0033981722674688575
